state,state_abbrev,dt_school emp_eligible_COV_vaccination,school_fm_mandate_2021,no_legal_enf_face mask mandate,banned_school_fm_mandate_2021,evic_initiation_ban_2020,util_shutoff_moratorium_2020,weekly_uempl_amt_2020,uemp_rate_2020_rel_prev_year,medicaid_expansion,Pov_percent,Min_Wage,UI_Max_Amt
Alabama,AL,2/8/2021,0,1,0,0,0,275,250,0,14.6,7.25,275
Alaska,AK,2/11/2021,0,0,0,1,0,370,-,1,12.2,10.19,370
Arizona,AZ,1/8/2021,0,1,1,0,0,240,150,1,11.2,12.00,240
Arkansas,AR,1/18/2021,0,0,1,0,1,451,208,1,14.7,10.00,451
California,CA,3/1/2021,1,1,0,1,1,450,53,1,11.0,13.00,450
Colorado,CO,2/8/2021,0,0,0,1,0,618,250,1,9.3,12.00,618
Connecticut,CT,3/1/2021,1,0,0,1,1,649,-,1,9.9,12.00,649
Delaware,DE,1/19/2021,1,0,0,1,1,400,160,1,8.1,9.25,400
District of Columbia,DC,1/25/2021,1,0,0,1,1,444,79,1,14.6,15.00,444
Florida,FL,4/5/2021,0,1,1,1,0,275,290,0,12.8,8.56,275
Georgia,GA,3/8/2021,0,1,0,0,0,365,171,0,13.4,7.25,365
Hawaii,HI,1/11/2021,1,0,0,1,1,648,419,1,9.5,10.10,648
Idaho,ID,1/12/2021,0,1,0,0,0,448,228,1,9.2,7.25,448
Illinois,IL,1/25/2021,1,0,0,1,1,484,51,1,9.2,10.00,484
Indiana,IN,3/15/2021,0,1,0,1,1,390,213,1,11.2,7.25,390
Iowa,IA,2/1/2021,0,0,1,1,1,481,211,1,9.1,7.25,481
Kansas,KS,1/21/2021,0,0,0,0,1,488,194,0,8.7,7.25,488
Kentucky,KY,2/1/2021,0,0,0,1,1,552,158,1,14.4,7.25,552
Louisiana,LA,2/22/2021,1,0,0,0,1,247,169,1,17.4,7.25,247
Maine,ME,3/3/2021,0,0,0,0,1,445,266,1,10.0,12.00,445
Maryland,MD,1/18/2021,0,0,0,0,1,430,214,1,8.1,11.00,430
Massachusetts,MA,3/11/2021,1,0,0,1,1,823,35,1,8.2,12.75,823
Michigan,MI,1/11/2021,0,0,0,1,0,362,172,1,10.6,9.65,362
Minnesota,MN,1/19/2021,0,0,0,1,1,740,152,1,7.3,10.00,740
Mississippi,MS,3/1/2021,0,1,0,0,1,235,125,0,18.8,7.25,235
Missouri,MO,3/15/2021,0,1,0,0,0,320,225,0,10.8,9.45,320
Montana,MT,4/1/2021,0,1,0,1,1,552,166,1,10.3,8.65,552
Nebraska,NE,1/20/2021,0,1,0,0,1,440,168,1,9.2,9.00,440
Nevada,NV,1/18/2021,0,0,0,1,0,469,41,1,12.1,9.00,469
New Hampshire,NH,3/17/2021,0,1,0,1,1,427,212,1,5.3,7.25,427
New Jersey,NJ,3/5/2021,1,0,0,0,1,713,-,1,7.6,11.00,713
New Mexico,NM,3/8/2021,1,0,0,0,1,511,167,1,16.2,9.00,511
New York,NY,1/11/2021,1,0,0,1,1,504,51,1,11.8,11.80,504
North Carolina,NC,2/24/2021,0,0,0,1,1,350,172,0,13.2,7.25,350
North Dakota,ND,2/18/2021,0,0,0,0,0,618,263,1,9.5,7.25,618
Ohio,OH,2/1/2021,0,0,0,0,1,647,163,1,12.3,8.70,647
Oklahoma,OK,2/22/2021,0,1,1,0,0,539,173,0,13.2,7.25,539
Oregon,OR,1/25/2021,1,0,0,1,0,648,188,1,9.1,12.00,648
Pennsylvania,PA,3/3/2021,1,0,0,1,1,572,146,1,10.4,7.25,572
Rhode Island,RI,3/3/2021,1,0,0,1,1,732,44,1,8.8,11.50,732
South Carolina,SC,3/4/2021,0,0,1,1,1,326,221,0,13.7,7.25,326
South Dakota,SD,3/8/2021,0,1,0,0,0,414,-,0,10.9,9.30,414
Tennessee,TN,2/22/2021,0,1,1,0,1,275,241,0,12.8,7.25,275
Texas,TX,3/3/2021,0,0,1,0,0,521,62,0,12.9,7.25,521
Utah,UT,1/11/2021,0,1,1,0,0,580,177,1,7.2,7.25,580
Vermont,VT,3/8/2021,0,1,0,1,1,513,146,1,9.0,10.96,513
Virginia,VA,1/11/2021,1,0,0,0,1,378,219,1,8.8,7.25,378
Washington,WA,3/2/2021,1,0,0,1,1,790,155,1,7.9,13.50,790
West Virginia,WV,3/22/2021,0,0,0,0,0,424,160,1,14.6,8.75,424
Wisconsin,WI,3/1/2021,0,0,0,1,1,370,185,0,8.3,7.25,370
Wyoming,WY,2/24/2021,0,0,0,0,0,508,192,0,9.5,7.25,508
