state,Overall Rank,Economic Well Being Rank,Education Rank,Health Rank, ,Percent of Children Living In High Poverty Area,Percent of children w/o health insurance,Children in families where household head lacks hs diploma,Percent of children aged 10-17 who are obese,Percent of Low birth Rate Babies
Alabama,47,45,43,47,44,15,4,11,33,10.7
Alaska,36,34,49,30,19,7,9,6,25,5.9
Arizona,42,36,46,33,46,18,8,16,27,7.6
Arkansas,40,46,31,40,45,12,5,12,30,9.4
California,34,44,38,11,37,11,3,20,32,7
Colorado,15,12,17,26,11,4,5,10,26,9.4
Connecticut,6,24,3,2,17,8,3,8,26,7.6
Delaware,27,26,30,29,25,3,4,9,27,8.9
District Of Columbia,N.R.,N.R.,N.R.,N.R.,N.R.,23,2,13,32,10
Florida,35,42,16,38,34,10,8,11,33,8.7
Georgia,38,35,37,46,39,12,8,13,31,10.1
Hawaii,17,25,35,7,12,5,3,6,25,8.3
Idaho,22,17,36,21,9,4,6,10,25,7.3
Illinois,24,21,12,20,27,9,3,11,29,8.5
Indiana,29,15,15,35,31,10,7,11,33,8.1
Iowa,10,5,13,18,13,3,3,8,35,6.9
Kansas,19,9,25,23,24,7,5,12,29,7.4
Kentucky,37,41,27,42,41,15,4,10,38,8.9
Louisiana,48,50,47,43,49,20,3,12,32,10.8
Maine,13,16,21,14,4,4,5,5,28,7.2
Maryland,21,13,19,28,22,4,3,10,34,8.8
Massachusetts,1,14,2,1,8,6,1,9,26,7.6
Michigan,32,30,40,22,30,14,3,9,29,8.5
Minnesota,3,3,8,3,5,4,3,8,25,6.9
Mississippi,49,47,39,50,50,23,5,12,40,12.1
Missouri,30,20,24,39,29,9,6,9,32,8.7
Montana,23,28,22,27,10,8,6,5,24,7.4
Nebraska,9,4,11,16,16,5,5,9,26,7.6
Nevada,46,40,45,36,43,9,8,17,31,8.7
New Hampshire,2,6,5,6,2,1,3,5,26,6.8
New Jersey,8,22,1,15,14,8,4,9,33,7.9
New Mexico,50,49,50,41,48,21,5,15,32,9
New York,28,39,18,12,36,16,2,13,30,8.1
North Carolina,33,32,23,32,35,9,5,12,30,9.2
North Dakota,7,1,32,10,6,6,6,5,27,6.6
Ohio,31,27,28,31,32,12,5,9,31,8.5
Oklahoma,45,33,48,49,40,11,8,12,36,8.3
Oregon,25,29,41,4,21,4,4,13,24,6.7
Pennsylvania,20,23,7,19,26,11,4,10,28,8.3
Puerto Rico,N.R.,N.R.,N.R.,N.R.,N.R.,84,3,12,N.A.,10.3
Rhode Island,26,31,33,9,28,13,2,10,31,7.6
South Carolina,41,38,42,44,38,11,5,10,36,9.6
South Dakota,18,8,26,25,23,10,6,6,25,6.6
Tennessee,39,43,29,48,42,12,5,12,37,9.3
Texas,43,37,34,45,47,14,11,19,32,8.5
Utah,4,2,10,13,1,2,7,8,24,7.2
Vermont,5,18,4,8,3,2,2,4,33,7
Virginia,14,11,6,24,18,5,5,9,30,8.2
Washington,12,19,14,5,15,4,3,11,26,6.6
West Virginia,44,48,44,37,33,9,3,8,36,9.4
Wisconsin,11,7,9,17,20,8,4,8,31,7.7
Wyoming,16,10,20,34,7,0,7,6,29,9.4
